Question,Answer
پاکستان میں بجلی / توانائی کی پیداوار,پاکستان نے 22،797 میگاواٹ بجلی پیدا کرنے کی صلاحیت قائم کی ہے
قاسم علی شاہ کون ہے؟,پاکستان کے قدیم سیاستدان
طال عباسی محکمہ علی شاہ؟,پاکستان کے قدیم سیاستدان
قیام شاہ,پاکستان کے قدیم سیاستدان
اردو زبان کی خصوصیات؟,یہ بہت سے زبانوں کا مرکب ہے
مجھے اردو زبان کی خصوصیات کے بارے میں بتاؤ؟,یہ بہت سے زبانوں کا مرکب ہے
اردو زبان کی کیا خصوصیات ہیں؟,یہ بہت سے زبانوں کا مرکب ہے
جی ہاں,ٹھیک ہے
1947 میں پاکستان میں کتنے اہم وزراء آئے ہیں؟,19 منتخب وزیر اعظم، کچھ کئی مرتبہ منتخب ہوئے تھے
کیا آپ کو کوئی مسئلہ ہے؟,نہیں میرے پاس کوئی نہیں ہے
پاکستان میں آبپاشی کا نظام,یہ اچھا ہے
پاکستان میں دہشت گردی,پاکستان سیاحوں کے لئے کچھ خوبصورت جگہ رکھتا ہے
سب سے زیادہ مطلوب مجرمانہ؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
کیوں لوگ سوات سے اتنے میلے ہیں؟,ان کی فطرت کی وجہ سے
پاکستان کے موجودہ صدر,ممنو حسین
مچھلی کاشتکاری کی کونسل اور کونسی چیزیں ہیں؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کا قومی کھیل کیا ہے؟,ہاکی پاکستان کا قومی کھیل ہے
پاکستان کی زبان کیا ہے,اردو پاکستان کی زبان ہے
سی پی ای سی نے شروع کیا؟,یہ ایک سال قبل شروع ہوا تھا
سی پی ای سی کی شروعاتی تاریخ؟,یہ ایک سال قبل شروع ہوا تھا
جب سی پی ای سی شروع کیا گیا تھا؟,یہ ایک سال قبل شروع ہوا تھا
پنجابی سینٹی میٹر کا نام,شاہد شیخ
مجھے قندھار کے سینٹی میٹر کے نام کے بارے میں بتاؤ؟,شاہد شیخ
پنجاب کا کون کونسل ہے؟,شاہد شیخ
پاکستان کا صدر کون ہے؟,ممنون حسین پاکستان کا صدر ہے
پاکستان میں معلومات کی ٹیکنالوجی,تم کیا چاہتے ہو
پاکستانی فوج کا بجٹ کیا ہے؟,اس کے تقریبا 80 فیصد
مجھے فوج کے بجٹ کے بارے میں بتاؤ؟,اس کے تقریبا 80 فیصد
پاکستانی فوج کا بجٹ,اس کے تقریبا 80 فیصد
پاکستان کا سب سے زیادہ اچھا کھانا؟,بریانی
مجھے پاکستان میں سب سے زیادہ پسند کی خوراک کے بارے میں بتاؤ؟,بریانی
پاکستان کا سب سے زیادہ قابل ذکر کھانا کیا ہے؟,بریانی
سی پی ای سی؟,سی پی ای سی | چین - پاکستان اقتصادی کوریڈور (سی پی ای سی سی) سرکاری ویب سائٹ پلاننگ وزارت کی طرف سے تیار
مجھے پی پی ای سی کے بارے میں بتاؤ؟,سی پی ای سی | چین - پاکستان اقتصادی کوریڈور (سی پی ای سی سی) سرکاری ویب سائٹ پلاننگ وزارت کی طرف سے تیار
سی پی سی کیا ہے؟,سی پی ای سی | چین - پاکستان اقتصادی کوریڈور (سی پی ای سی سی) سرکاری ویب سائٹ پلاننگ وزارت کی طرف سے تیار
پاکستان میں بدعت,آپ کے سوال کے بارے میں زیادہ خاص ہو
مریم نواز؟,وہ نوازی شیرف کا داغوسٹر ہے
مریمام نوجا کے بارے میں مجھے بتاؤ؟,وہ نوازی شیرف کا داغوسٹر ہے
مریمام نوزاز کون ہے؟,وہ نوازی شیرف کا داغوسٹر ہے
پاکستان کی قرارداد کونسی تاریخ منظور ہوئی تھی؟,١٩٤٠-٠٣-٢٣ ٠٠:٠٠:٠٠
پاکستان کے بہترین اسکواش کھلاڑی کا نام کیا ہے؟,جہانگیر خان پاکستان کا بہترین اسکواش کھلاڑی ہے
پاکستان کا بہترین اسکواش کھلاڑی؟,جہانگیر خان پاکستان کا بہترین اسکواش کھلاڑی ہے
پاکستان کا بہترین اسکواش کھلاڑی کا نام,جہانگیر خان پاکستان کا بہترین اسکواش کھلاڑی ہے
پاکستان کا مشہور کھانا کیا ہے؟,برہانی پاکستان کا مشہور کھانا ہے
مجھے پاکستان کے مشہور کھانے کے بارے میں بتاؤ؟,برہانی پاکستان کا مشہور کھانا ہے
پاکستان کا مشہور کھانا,برہانی پاکستان کا مشہور کھانا ہے
پاکستان کے ذخائر کا استعمال کیسے کریں؟,وسائل کا استعمال کرتے ہوئے
پاکستان کی کمپنیاں اور تنظیمیں,آپ کے سوال کے بارے میں مخصوص ہونا
روزہ یونیورسٹی سے متعلق مسائل؟,اس سے اپ کا کیا مطلب ہے
C پی ای سی کی وضاحت,چین-پاکستان اقتصادی کوریڈور بنیادی ڈھانچے کے منصوبوں کا مجموعہ ہے جو فی الحال پورے پاکستان بھر میں زیر تعمیر ہے.
پاکستان کا والد,قائداعظم پاکستان کا باپ ہے
پاکستان کی ماں کون ہے؟,فاطمه جناح ملک کی ماں کے طور پر جانا جاتا ہے
مجھے ماں کی ماں کے بارے میں بتاو؟,فاطمه جناح ملک کی ماں کے طور پر جانا جاتا ہے
پاکستان کی ماں,فاطمه جناح ملک کی ماں کے طور پر جانا جاتا ہے
سی پی ای سی,انفراسٹرکچر منصوبوں کا مجموعہ ہے جو فی الحال پاکستان بھر میں زیر تعمیر ہے.
پاکستان کا سب سے زیادہ اچھا کھانا؟,برائن
مجھے پاکستان میں سب سے زیادہ پسند کی خوراک کے بارے میں بتاؤ؟,برائن
پاکستان میں سب سے زیادہ قابل پسند کھانے کا کھانا کیا ہے؟,برائن
قائداعظم سے نکلنے کی تاریخ کیا ہے,کوئٹہ کراچی، 11 ستمبر 1 9 48 کو منظور ہوا
کاملیش,اس سے اپ کا کیا مطلب ہے
کیا تم گونگا ہو؟,نہیں، مہودی نہیں
کاملیش,سٹو سٹو سٹو سٹو سٹو سرلوین گوشت
مجھے پاکستان کے اراکین کے بارے میں بتاؤ؟,شاہد خاقان اباسی پاکستان کا وزیر اعظم ہے
پاکستان کے امیدوار کا نام؟,شاہد خاقان اباسی پاکستان کا وزیر اعظم ہے
پاکستان کا وزیر اعظم کون ہے؟,شاہد خاقان اباسی پاکستان کا وزیر اعظم ہے
مریم نواز؟,وہ نوازی شیرف کا داغوسٹر ہے
مریمام نوجا کے بارے میں مجھے بتاؤ؟,وہ نوازی شیرف کا داغوسٹر ہے
مریمام نوجا کون ہے؟,وہ نوازی شیرف کا داغوسٹر ہے
پاکستان کا دوسرا صدر کون تھا؟,ايوب خان پاکستان کا دوسرا صدر ہے
کہاں ہے مسجد؟,یہ لہر میں سنا ہے
اندر,آپ کے سوال کے بارے میں زیادہ خاص ہو
ہم نے پاکستان کی دفاعی قوتوں پر ہماری معیشت کیوں خرچ کی ہے؟,ہماری غریب قیادت کی وجہ سے
پاکستان میں مشہور ڈیم,تربایل ڈیم پاکستان کا مشہور ڈیم ہے
نوازی شریف کون ہے؟,وہ پاکستان کا سابق وزیر اعظم ہے
پاکستان کے بانی,قائداعظم پاکستان کا بانی ہے
مجھے پاکستان میں دہشت گردی کے بارے میں بتاو,دن دن بڑھ رہا ہے
پاکستان کا سب سے مشہور کھلاڑی کون ہے؟,عمران خان پاکستان کا سب سے مشہور کھلاڑی ہے
دہشت گردی نے پاکستانی، قومی، ثقافتی اور مذہبی واقعات کے نتائج کے بارے میں کس طرح متاثر کیا ہے؟,یہ صرف ان کو برباد کر دیا
بادشاہی مسجد,اس سے اپ کا کیا مطلب ہے
پاکستان کا عام درآمد کیا ہے؟,مشینری پاکستان کی بڑی درآمد ہے
آفریدی کون ہے؟,سابق کرکٹر
مجھے افریدی کے بارے میں بتاو؟,سابق کرکٹر
آفریدی,سابق کرکٹر
پاکستان کا علاقہ؟,796،095 کلو میٹر پاکستان کا علاقہ ہے
مجھے پاکستان کے علاقے کے بارے میں بتاؤ؟,796،095 کلو میٹر پاکستان کا علاقہ ہے
پاکستان کا کیا علاقہ ہے,796،095 کلو میٹر پاکستان کا علاقہ ہے
پاکستان میں زراعت,اس سے اپ کا کیا مطلب ہے
پاکستان کی سرکاری زبان کونسا ہونا چاہئے؟,واضح طور پر اردو
پاکستان میں سب سے مشہور ڈش کیا ہے,بھیاانی پاکستان کا سب سے مشہور ڈش ہے
پاکستان کی بدعت,آپ کے سوال کے بارے میں مخصوص ہونا
پاکستان کا مذہب,اسلام اسلام کا مذہب ہے
پاکستان کا سب سے بڑا شہر کیا ہے؟,کراچی پاکستان کا سب سے بڑا شہر ہے
مجھے پاکستان کے سب سے بڑے شہر کے بارے میں بتاؤ؟,کراچی پاکستان کا سب سے بڑا شہر ہے
پاکستان کا سب سے بڑا شہر؟,کراچی پاکستان کا سب سے بڑا شہر ہے
پاکستان میں تعلیمی نظام اچھا نہیں ہے، ہم اسے کیسے بہتر بناتے ہیں؟,تعلیم پر زیادہ بجٹ خرچ کر کے
پاکستان میں جنگیں,اس سے اپ کا کیا مطلب ہے
پاکستان پاکستان کا نام کیوں تھا,کیونکہ یہ ہمارے ساتھ ہے
کیوں منشیات کے مسائل، حفظان صحت کی مسئلہ دن کے دن میں بڑھتی ہوئی ہے؟,علم کی کمی کی وجہ سے
میں پاکستان میں معیار کا وقت کس طرح خرچ کر سکتا ہوں؟,آپ اپنے آپ کو بہتر جانتے ہیں
کس طرح کھلاڑیوں کی مدد کی جانی چاہئے؟,تربیت نے انہیں مدد دی اور انہیں مضبوط بنا دیا
کیا بیسنٹ ایک پاکستانی، قومی، ثقافتی اور روایتی واقعہ ہے؟,نہیں یہ نہیں ہے
پاکستان کی ندیاں کیا ہیں؟,سوٹج دریا روی دریا چناب دریا پاکستان کے چند دریا ہیں
مجھے پاکستان کے دریاؤں کے بارے میں بتاؤ؟,سوٹج دریا روی دریا چناب دریا پاکستان کے چند دریا ہیں
پاکستان کی ندی,سوٹج دریا روی دریا چناب دریا پاکستان کے چند دریا ہیں
پاکستان میں موجودہ سیاسی مسائل؟,پی ٹی ایم ایم پی پی پاکستان کی اہم جماعتیں ہیں
مجھے پاکستان میں موجودہ سیاسی مسائل کے بارے میں بتاؤ؟,پی ٹی ایم ایم پی پی پاکستان کی اہم جماعتیں ہیں
پاکستان میں موجودہ سیاسی مسائل کیا ہیں؟,پی ٹی ایم ایم پی پی پاکستان کی اہم جماعتیں ہیں
پاکستان کی کمپنیاں اور تنظیمیں,آپ کے سوال کے بارے میں بہت سارے مخصوص ہیں
کمپنیوں اور تنظیموں,آپ کے سوال کے بارے میں بہت سارے مخصوص ہیں
کمپنیوں اور دنیا کی طرف سے تسلیم پاکستان کی تنظیم,آپ کے سوال کے بارے میں بہت سارے مخصوص ہیں
٧٨١,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
مجھے 781 کے بارے میں بتائیں,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
781 کیا ہے؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کی ندیاں کیا ہیں؟,سوٹج دریا روی دریا چناب دریا پاکستان کے چند دریا ہیں
مجھے پاکستان کے دریاؤں کے بارے میں بتاؤ؟,سوٹج دریا روی دریا چناب دریا پاکستان کے چند دریا ہیں
پاکستان میں دریاؤں؟,سوٹج دریا روی دریا چناب دریا پاکستان کے چند دریا ہیں
مجھے پاکستان کے قومی شاعر کے بارے میں بتاؤ؟,علامہ اقبال پاکستان کا قومی شاعر ہے
پاکستان کے قومی شاعر کا نام کیا ہے؟,علامہ اقبال پاکستان کا قومی شاعر ہے
پاکستان کی قومی شاعر کون ہے؟,علامہ اقبال پاکستان کا قومی شاعر ہے
پاکستان کا کیا درآمد ہے؟,مشینری پاکستان کی درآمد ہے
مجھے پاکستان کے درآمد کے بارے میں بتاؤ؟,مشینری پاکستان کی درآمد ہے
پاکستان میں درآمد,مشینری پاکستان کی درآمد ہے
پاکستان کی خواندگی کی شرح؟,پاکستان کی خواندگی کی شرح 57 فیصد ہے
مجھے پاکستان کی خواندگی کی شرح کے بارے میں بتاؤ؟,پاکستان کی خواندگی کی شرح 57 فیصد ہے
پاکستان کی سوادتی کی شرح کیا ہے؟,پاکستان کی خواندگی کی شرح 57 فیصد ہے
مشہور تعلیمی ادارے؟,جس سطح پر
اچھا تعلیمی ادارہ؟,جس سطح پر
پاکستان میں مشہور تعلیمی ادارے؟,جس سطح پر
پاکستان کے کھلاڑیوں,آپ کے سوال کے بارے میں زیادہ خاص ہو
فاسٹ اب,تم اس کے بارے میں کیا پوچھ رہے ہو؟
پاکستان پرچم کیا رنگ ہے,اس کے سفید اور سبز رنگ دونوں ہیں
مجھے نیاز شریف کے بارے میں بتاؤ؟,وہ پاکستان کا سابق وزیر اعظم ہے
نواز شريف؟,وہ پاکستان کا سابق وزیر اعظم ہے
نوازی شریف کون ہے؟,وہ پاکستان کا سابق وزیر اعظم ہے
پاکستان میں ڈیم,پاکستان میں تقریبا 18 سے 20 ڈیم ہیں
مجھے پاکستان کے ڈیموں کے بارے میں بتاؤ؟,پاکستان میں تقریبا 18 سے 20 ڈیم ہیں
پاکستان میں کتنے ڈیم ہیں؟,پاکستان میں تقریبا 18 سے 20 ڈیم ہیں
لہر کی موسم؟,وہاں گرم ہے
مجھے لہر کی موسم کے بارے میں بتاؤ؟,وہاں گرم ہے
اب لہر کی موسم کیا ہے,وہاں گرم ہے
فیصل مسجد,یہ ISL میں واقع ہے
پاکستان میں صحت,آپ کے سوال کے بارے میں زیادہ خاص ہو
چاکور؟,پاکستان کے قومی جانور
مجھے چاکور کے بارے میں بتاو؟,پاکستان کے قومی جانور
چک کیا ہے؟,پاکستان کے قومی جانور
سی پی ای سی کیا ہے,چین - پاکستان اقتصادی کوریڈور (سی پی ای سی سی) سرکاری ویب سائٹ پلاننگ وزارت کی طرف سے تیار
ہر وقت بہترین فٹ بال کا نام؟,مارڈونا بہترین فٹ بال ہے
ہر وقت بہترین فٹ بال کا نام کیا ہے؟,مارڈونا بہترین فٹ بال ہے
ہر وقت بہترین فٹ بال کون ہے؟,مارڈونا بہترین فٹ بال ہے
کیا یہ ہے؟,آئی آئی انٹر سروسز انٹیلی جنس کے لئے کھڑا ہے
عیسی کا مطلب کیا ہے؟,آئی آئی انٹر سروسز انٹیلی جنس کے لئے کھڑا ہے
میں ایس کے لئے کھڑا ہوں؟,آئی آئی انٹر سروسز انٹیلی جنس کے لئے کھڑا ہے
اب پاکستان میں کتنے ایٹمی بجلی گھریں کام کر رہے ہیں؟,پاکستان میں تقریبا 9 ایٹمی پاور پلانٹ موجود ہیں
سی پی ای سی,چین - پاکستان اقتصادی کوریڈور (سی پی ای سی سی) سرکاری ویب سائٹ پلاننگ وزارت کی طرف سے تیار
پاکستان کا قومی کھیل؟,ہاکی پاکستان کا قومی کھیل ہے
مجھے پاکستان کے قومی کھیل کے بارے میں بتاؤ؟,ہاکی پاکستان کا قومی کھیل ہے
پاکستان کا قومی کھیل کیا ہے؟,ہاکی پاکستان کا قومی کھیل ہے
پاک فوج کا پہلا COAS کون تھا؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
ہنزا مقام؟,یہ پاکستان کے شمالی حصے میں واقع ہے
ہنزا کا مقام کیا ہے؟,یہ پاکستان کے شمالی حصے میں واقع ہے
ہنزا کہاں ہے,یہ پاکستان کے شمالی حصے میں واقع ہے
پاکستان کا پہلا بجے,لیاقت علی خان پاکستان کا پہلا وزیر اعظم ہے
مجھے پاکستان کے پہلے اڈے کے بارے میں بتاؤ؟,لیاقت علی خان پاکستان کا پہلا وزیر اعظم ہے
پاکستان کا پہلا وزیر اعظم کون ہے؟,لیاقت علی خان پاکستان کا پہلا وزیر اعظم ہے
پاکستان میں سب سے بڑی سیاسی جماعت؟,پی پی پی پاکستان کا سب سے بڑا سیاسی جماعت ہے
پاکستان کی سب سے بڑی سیاسی جماعت کا نام؟,پی پی پی پاکستان کا سب سے بڑا سیاسی جماعت ہے
جو پاکستان میں سب سے بڑی سیاسی جماعت ہے,پی پی پی پاکستان کا سب سے بڑا سیاسی جماعت ہے
پاکستان کے صوبے؟,پاک صوبے میں 4 صوبوں ہیں
پاکستان کی ندیوں کا نام؟,سوٹج دریا روی دریا چناب دریا پاکستان کے چند دریا ہیں
پاکستان کی ندیاں کیا ہیں؟,سوٹج دریا روی دریا چناب دریا پاکستان کے چند دریا ہیں
پاکستان میں ندی,سوٹج دریا روی دریا چناب دریا پاکستان کے چند دریا ہیں
پاکستان کا قومی کھیل کیا ہے؟,ہاکی پاکستان کا قومی کھیل ہے
مجھے پاکستان کے قومی کھیل کے بارے میں بتاؤ؟,ہاکی پاکستان کا قومی کھیل ہے
پاکستان کے قومی کھیل,ہاکی پاکستان کا قومی کھیل ہے
پاکستان کے تاریخی مقامات,پاکستان میں بہت سے تاریخی مقامات موجود ہیں جیسے راکٹاس قلعہ، حیر منار پارک وغیرہ
پاکستان میں زراعت,آپ کا سوال کوئی احساس نہیں ہے
مجھے پاکستان میں زراعت کے بارے میں بتاؤ؟,آپ کا سوال کوئی احساس نہیں ہے
پاکستان میں زراعت کی شرح کیا ہے؟,آپ کا سوال کوئی احساس نہیں ہے
مجھے پاکستان کی سب سے خوبصورت جگہ کے بارے میں بتاؤ؟,ہنزا پاکستان کی سب سے خوبصورت جگہ ہے
پاکستان میں سب سے خوبصورت جگہ کے بارے میں معلومات؟,ہنزا پاکستان کی سب سے خوبصورت جگہ ہے
پاکستان میں سب سے خوبصورت جگہ کیا ہے؟,ہنزا پاکستان کی سب سے خوبصورت جگہ ہے
آب و ہوا کی کونسا قسم ہے؟,وہاں اس کا گرم ہوا
پاکستان میں مردوں کے لئے سوادتی کی شرح کیا ہے؟,پاکستان کی خواندگی کی شرح 57 فیصد ہے
شاہد آفریدی,پاکستان کے ایک مشہور کرکٹر
مجھے شاہد آفریدی کے بارے میں بتاؤ؟,پاکستان کے ایک مشہور کرکٹر
شاہد آفریدی کون ہے؟,پاکستان کے ایک مشہور کرکٹر
پاکستان میں توانائی بحران,کیا آپ وجہ سے پوچھتے ہیں
میں چاکر سے کیسے چھٹکارا حاصل کر سکتا ہوں؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان میں دہشت گردی,دن کی طرف سے بڑھتی ہوئی دن
پاکستان کی زبانیں,اس سے اپ کا کیا مطلب ہے
مجھے پاکستان کی زبانوں کے بارے میں بتاؤ؟,اس سے اپ کا کیا مطلب ہے
پاکستان کی کتنی زبانیں؟,اس سے اپ کا کیا مطلب ہے
کیا پاکستان کے صوبائی سیاسی جماعتوں کے درمیان سیاسی اختلافات آخر میں ملک کو توڑنے کے خاتمے کے لۓ ہیں؟,آپ کا سوال بہت عام ہے، براہ مہربانی مخصوص ہو
پاکستان کے صوبے کیا ہیں؟,پاکستان کے صوبے کے پی پی کے ایس سندھ پنجاب چوکستان گلگت ہیں
مجھے بتاو کہ تعلیمی نظام کو نشان زدہ کیوں نہیں ہے؟,کم بجٹ کی وجہ سے تعلیم کو مختص کیا گیا تھا
تعلیمی نظام پاکستان میں کیوں اچھا نہیں ہے؟,کم بجٹ کی وجہ سے تعلیم کو مختص کیا گیا تھا
کیوں پاکستانی تعلیمی نظام اوسط سے کم ہے,کم بجٹ کی وجہ سے تعلیم کو مختص کیا گیا تھا
مجھے پاکستان کی دارالحکومت کے بارے میں بتاؤ؟,اسلام آباد پاکستان کا دارالحکومت ہے
نام کا دارالحکومت پاکستان؟,اسلام آباد پاکستان کا دارالحکومت ہے
پاکستان کا دارالحکومت کیا ہے؟,اسلام آباد پاکستان کا دارالحکومت ہے
مجھے پاکستان میں روایتی لباس کے بارے میں بتاؤ؟,اس کے سلور کامز
پاکستان میں روایتی لباس کے بارے میں معلومات؟,اس کے سلور کامز
پاکستان کے روایتی لباس کیا ہے,اس کے سلور کامز
مجھے بتاو گیس اچھا یا رونالڈو ہے؟,گندی میری بائی
کونسا گیس یا رونالڈو؟,گندی میری بائی
گندی یا رونالڈو؟,گندی میری بائی
پاکستان کا پہلا وزیر کون کون ہے؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
ملتان کا آب و ہوا کیا ہے؟,وہاں اس کے گرم
ملتان کا آب و ہوا؟,وہاں اس کے گرم
ملتان کے آب و ہوا کے بارے میں مجھے بتاؤ؟,وہاں اس کے گرم
پنجاب کی آبادی کیا ہے؟,اس کی بہت ہی متوازن متوازن ہے، براہ مہربانی مزید مخصوص رہیں
مجھے پنجاب کے ماحول کے بارے میں بتاؤ؟,اس کی بہت ہی متوازن متوازن ہے، براہ مہربانی مزید مخصوص رہیں
پنجاب کا آب و ہوا؟,اس کی بہت ہی متوازن متوازن ہے، براہ مہربانی مزید مخصوص رہیں
پاکستان میں بھاری صنعت,اس سے اپ کا کیا مطلب ہے
پاکستان کے کچھ مشہور ڈیموں کا نام؟,تربایل ڈیم پاکستان کا مشہور ڈیم ہے
پاکستان میں چچا جادوگر کہاں ہے؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان میں جھیلیں,آفت آباد جھیل سیف المالک جھیل پاکستان کے چند جھیل ہیں
پاکستان میں سرکاری زبان کیا ہے؟,انگریزی پاکستان کی سرکاری زبان ہے
پاکستان میں کتنے ندی ہیں؟,پاکستان میں تقریبا 25-30 دریاؤں ہیں
آپ کسی بھی سوال کو صحیح طریقے سے جواب کیوں نہیں دیتے؟,افسوس
پنجاب کا دارالحکومت؟,لہر پنجاب کے دارالحکومت ہے
کیا تعلیمی اداروں حکومت یا نجی ہیں؟,یہ حکومت ہونا چاہئے
مجھے بتائیں کہ تعلیمی اداروں حکومت یا نجی ہیں؟,یہ حکومت ہونا چاہئے
کیا تعلیمی ادارے حکومت یا نجی ہیں؟,یہ حکومت ہونا چاہئے
چچا مجبر کہاں رہتے ہیں,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کا دارالحکومت کیا ہے؟,اسلام آباد پاکستان کا دارالحکومت ہے
مجھے پاکستان کی دارالحکومت کے بارے میں بتاؤ؟,اسلام آباد پاکستان کا دارالحکومت ہے
پاکستان کا دارالحکومت؟,اسلام آباد پاکستان کا دارالحکومت ہے
مختلف ملکوں کے ساتھ پاکستان کا غیر ملکی تعلقات اچھا ہے یا نہیں؟,یہ اچھا ہے
حمص کون ہے؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پنجابی کا دارالحکومت کیا ہے؟,لہر پنجاب کے دارالحکومت ہے
حمص کون ہے؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
بھاری صنعت کی جگہ کیا ہے؟,پنجاب میں واقع ہے
مجھے پاکستان میں بھاری صنعت کے بارے میں بتاؤ؟,پنجاب میں واقع ہے
پاکستان کی بھاری صنعت کہاں ہے؟,پنجاب میں واقع ہے
پاکستان کا کونسل ہے؟,شیعہ شہباز پاکستان کا سینٹی میٹر ہے
پاکستان میں کتنے زبانیں بولی جاتی ہیں؟,سنڈی گنچی پنجبی پختہ پاکستان میں بولی جانے والے زبانوں میں ہیں
سندھ کا دارالحکومت کیا ہے؟,کراچی سندھ کی گنجائش ہے
مجھے سندھ کے دارالحکومت کے بارے میں بتاؤ؟,کراچی سندھ کی گنجائش ہے
سندھ کے دارالحکومت,کراچی سندھ کی گنجائش ہے
بھارت کا دارالحکومت؟,نئی دہلی بھارت کی دارالحکومت ہے
پاکستان کی قومی برادری؟,چکھر ڈریج پاکستان کی قومی برادری ہے
پاکستان کی قومی برادری کا نام؟,چکھر ڈریج پاکستان کی قومی برادری ہے
پاکستان کی قومی برادری کیا ہے؟,چکھر ڈریج پاکستان کی قومی برادری ہے
سی پی سی کی خرابیاں؟,سی پی ای سی سی کا کوئی بڑا نقصان نہیں ہے
سی پی سی کے نقصانات؟,سی پی ای سی سی کا کوئی بڑا نقصان نہیں ہے
سی پی ای سی سی کی خرابیاں کیا ہیں,سی پی ای سی سی کا کوئی بڑا نقصان نہیں ہے
عام بینک گناہ پاکستان؟,ایم سی بی معیاری چارٹ شدہ فیزل بینک پاکستان میں چند بینکوں ہیں
مجھے پاکستان میں مشترکہ بینکوں کے بارے میں بتاؤ؟,ایم سی بی معیاری چارٹ شدہ فیزل بینک پاکستان میں چند بینکوں ہیں
پاکستان میں عام بینک کیا ہیں؟,ایم سی بی معیاری چارٹ شدہ فیزل بینک پاکستان میں چند بینکوں ہیں
پاکستان کا سب سے مشہور کرکٹر؟,عمران خان پاکستان کا سب سے مشہور کرکٹر ہے
پاکستان میں سب سے مشہور کھلاڑی کون ہے؟,عمران خان پاکستان کا سب سے مشہور کھلاڑی ہے
سعد کون ہے,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان کی عام خوراک؟,برہانی پاکستان کا سب سے عام کھانا ہے
پاکستان کی عام خوراک کیا ہے؟,برہانی پاکستان کا سب سے عام کھانا ہے
پاکستان میں سب سے مشہور کھلاڑی کون ہے؟,عمران خان پاکستان میں سب سے مشہور کھلاڑی ہے
ایئر فورس کی بنیاد؟,پی اے ایف بیس مشف سرگودھا میں واقع ہے
مجھے ایئر فورس کی بنیاد کے بارے میں بتاؤ؟,پی اے ایف بیس مشف سرگودھا میں واقع ہے
بیس آف AirForce کہاں ہے؟,پی اے ایف بیس مشف سرگودھا میں واقع ہے
چچا مجبو واقع واقع ہے,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
پاکستان میں کتنے صوبوں؟,پاکستان میں چار صوبوں ہیں
قریبی ہسپتال کا مقام کیا ہے؟,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
احمد شہزاد نے پاکستانی ٹیم میں مسلسل کیوں اضافہ کیا ہے,کیونکہ وہ ایک اچھا کھلاڑی ہے
سردی جگہیں؟,شمالی علاقوں سرد ہیں
پاکستان کی سرد جگہ کہاں ہیں؟,شمالی علاقوں سرد ہیں
کونسی جگہ موسم میں سرد ہیں؟,شمالی علاقوں سرد ہیں
پاکستان کے مشہور کھیل,کرکٹ پاکستان کے مشہور کھیل ہے
پاکستان کے غیر ملکی تعلقات,ان کے اچھے تعلقات ہیں
جو پاکستان کا اگلا وزیر اعظم ہے,وہ جو پارلیمانیوں سے زیادہ ووٹ حاصل کرتا ہے
یاسی ہے,مجھے افسوس ہے کہ میں نہیں جانتا، براہ مہربانی زیادہ مخصوص رہیں
بہترین یونیورسٹی؟,جس میدان میں
سندھ دریا,اس سے اپ کا کیا مطلب ہے
انور زہر جمالی کون ہے,پاکستان کے سابق چیف جسٹس
آرموغان اتنا ذہین کیوں ہے؟,کیونکہ وہ مشکل کام کرتا ہے
2008 میں ریکارڈ آبادی؟,پاکستان کی آبادی 163.6 ملین ہے
2008 میں ریکارڈ کردہ آبادی کے بارے میں مجھے بتاؤ؟,پاکستان کی آبادی 163.6 ملین ہے
2008 کی مردم شماری میں ریکارڈ کی گئی آبادی کیا تھی؟,پاکستان کی آبادی 163.6 ملین ہے
پاکستان میں بھاری صنعت؟,یہ پنجاب میں واقع ہے
مجھے بھاری صنعت کے بارے میں بتاو؟,یہ پنجاب میں واقع ہے
پاکستان کی بھاری صنعت کہاں ہے؟,یہ پنجاب میں واقع ہے
پاکستان کا صدر؟,ممنون حسین پاکستان کا صدر ہے
